product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,size_category,fat_percentage,sugar_per_ml,caffeine_density,is_high_calorie
Vanilla Bean Crème Frappuccino Blended,grande,5,1,473,400,16.0,10.0,0.5,55,240,59,0,57,0,medium,3.382663847780127,0.12050739957716702,0.0,True
Vanilla Bean Crème Frappuccino Blended,grande,3,0,473,250,2.5,0.3,0.0,0,220,54,1,51,0,medium,0.5285412262156448,0.10782241014799154,0.0,True
Vanilla Bean Crème Frappuccino Blended,grande,3,1,473,370,13.0,7.0,0.3,40,230,57,1,54,0,medium,2.748414376321353,0.11416490486257928,0.0,True
Vanilla Bean Crème Frappuccino Blended,grande,4,0,473,240,3.0,3.0,0.0,0,220,54,0,52,0,medium,0.6342494714587738,0.10993657505285412,0.0,True
Vanilla Bean Crème Frappuccino Blended,grande,4,1,473,360,14.0,10.0,0.3,40,240,57,0,56,0,medium,2.9598308668076108,0.11839323467230443,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,1,0,709,320,0.2,0.1,0.0,5,300,73,0,71,0,large,0.02820874471086037,0.1001410437235543,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,1,1,709,430,11.0,7.0,0.3,45,310,76,0,73,0,large,1.5514809590973202,0.10296191819464035,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,2,0,709,350,4.0,2.0,0.1,15,310,73,0,71,0,large,0.5641748942172073,0.1001410437235543,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,2,1,709,460,15.0,9.0,0.5,55,320,76,0,73,0,large,2.1156558533145273,0.10296191819464035,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,5,0,709,370,7.0,4.0,0.2,20,300,73,0,71,0,large,0.9873060648801129,0.1001410437235543,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,5,1,709,490,18.0,11.0,0.5,60,310,76,0,73,0,large,2.538787023977433,0.10296191819464035,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,3,0,709,330,3.0,0.4,0.0,0,290,69,1,66,0,large,0.4231311706629055,0.0930888575458392,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,3,1,709,440,14.0,7.0,0.3,40,300,73,1,68,0,large,1.9746121297602257,0.09590973201692525,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,4,0,709,310,4.5,4.0,0.0,0,290,69,0,67,0,large,0.6346967559943583,0.09449929478138223,0.0,True
Vanilla Bean Crème Frappuccino Blended,venti,4,1,709,430,15.0,11.0,0.3,40,300,73,0,70,0,large,2.1156558533145273,0.09873060648801128,0.0,True
Caramel Apple Spice,short,0,0,236,140,0.0,0.0,0.0,0,10,35,0,33,0,small,0.0,0.13983050847457626,0.0,False
Caramel Apple Spice,short,0,1,236,210,6.0,3.5,0.2,20,20,40,0,37,0,small,2.5423728813559325,0.15677966101694915,0.0,True
Caramel Apple Spice,tall,0,0,354,210,0.0,0.0,0.0,0,15,53,0,49,0,medium,0.0,0.1384180790960452,0.0,True
Caramel Apple Spice,tall,0,1,354,300,7.0,4.5,0.2,25,30,59,0,55,0,medium,1.977401129943503,0.1553672316384181,0.0,True
Caramel Apple Spice,grande,0,0,473,280,0.0,0.0,0.0,0,20,70,0,65,0,medium,0.0,0.13742071881606766,0.0,True
Caramel Apple Spice,grande,0,1,473,380,8.0,5.0,0.2,30,35,76,0,71,0,medium,1.6913319238900635,0.15010570824524314,0.0,True
Caramel Apple Spice,venti,0,0,591,360,0.0,0.0,0.0,0,25,89,0,83,0,large,0.0,0.1404399323181049,0.0,True
Caramel Apple Spice,venti,0,1,591,450,8.0,5.0,0.2,30,40,95,0,88,0,large,1.353637901861252,0.14890016920473773,0.0,True
Hot Chocolate,short,1,0,236,140,1.5,1.0,0.0,5,70,26,2,23,15,small,0.6355932203389831,0.09745762711864407,0.0635593220338983,False
Hot Chocolate,short,1,1,236,200,6.0,4.0,0.2,20,95,29,2,24,15,small,2.5423728813559325,0.1016949152542373,0.0635593220338983,False
Hot Chocolate,short,2,0,236,170,4.5,3.0,0.1,15,80,26,2,22,15,small,1.9067796610169492,0.09322033898305085,0.0635593220338983,False
Hot Chocolate,short,2,1,236,230,10.0,6.0,0.3,30,85,28,2,24,15,small,4.23728813559322,0.1016949152542373,0.0635593220338983,True
Hot Chocolate,short,5,0,236,190,7.0,4.0,0.2,15,70,26,2,22,15,small,2.9661016949152543,0.09322033898305085,0.0635593220338983,False
Hot Chocolate,short,5,1,236,250,12.0,7.0,0.3,35,80,28,2,24,15,small,5.084745762711865,0.1016949152542373,0.0635593220338983,True
Hot Chocolate,short,3,0,236,150,3.5,1.0,0.0,0,60,23,3,18,15,small,1.4830508474576272,0.07627118644067797,0.0635593220338983,False
Hot Chocolate,short,3,0,236,210,9.0,4.5,0.2,20,65,25,3,20,15,small,3.8135593220338984,0.0847457627118644,0.0635593220338983,True
Hot Chocolate,short,4,0,236,140,5.0,4.5,0.0,0,70,23,2,20,15,small,2.11864406779661,0.0847457627118644,0.0635593220338983,False
Hot Chocolate,short,4,1,236,200,10.0,8.0,0.2,20,75,26,2,22,15,small,4.23728813559322,0.09322033898305085,0.0635593220338983,False
Hot Chocolate,tall,1,0,354,210,2.0,1.0,0.0,5,110,37,3,32,20,medium,0.5649717514124294,0.0903954802259887,0.05649717514124294,True
Hot Chocolate,tall,1,1,354,280,8.0,5.0,0.2,30,115,40,3,34,20,medium,2.2598870056497176,0.096045197740113,0.05649717514124294,True
Hot Chocolate,tall,2,0,354,250,7.0,4.5,0.2,20,125,37,3,32,20,medium,1.977401129943503,0.0903954802259887,0.05649717514124294,True
